StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q3_12,Q3_13,Q3_14,Q3_15,Q3_16,Q3_17,Q3_18,Q3_19,Q3_20,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q4_16,Q4_17
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please indicate your subject ID:,"Below you
will find a list of statements. Please indicate how often each statement
applies to you generally in daily life.

 

Please
indicate from a scale from 0 to 5 (0 representing never and 5 representing
always) - 1.	When I am tense I notice where the tension is located in my body.","Below you
will find a list of statements. Please indicate how often each statement
applies to you generally in daily life.

 

Please
indicate from a scale from 0 to 5 (0 representing never and 5 representing
always) - 2.	I notice when I am uncomfortable in my body.","Below you
will find a list of statements. Please indicate how often each statement
applies to you generally in daily life.

 

Please
indicate from a scale from 0 to 5 (0 representing never and 5 representing
always) - 3.	I notice where in my body I am comfortable.","Below you
will find a list of statements. Please indicate how often each statement
applies to you generally in daily life.

 

Please
indicate from a scale from 0 to 5 (0 representing never and 5 representing
always) - 4.	I notice changes in my breathing, such as whether it slows down or speeds up.","Below you
will find a list of statements. Please indicate how often each statement
applies to you generally in daily life.

 

Please
indicate from a scale from 0 to 5 (0 representing never and 5 representing
always) - 5.	I ignore physical tension or discomfort until they become more severe.","Below you
will find a list of statements. Please indicate how often each statement
applies to you generally in daily life.

 

Please
indicate from a scale from 0 to 5 (0 representing never and 5 representing
always) - 6.	I distract myself from sensations of discomfort.","Below you
will find a list of statements. Please indicate how often each statement
applies to you generally in daily life.

 

Please
indicate from a scale from 0 to 5 (0 representing never and 5 representing
always) - 7.	When I feel pain or discomfort, I try to power through it.","Below you
will find a list of statements. Please indicate how often each statement
applies to you generally in daily life.

 

Please
indicate from a scale from 0 to 5 (0 representing never and 5 representing
always) - 8.	I try to ignore pain.","Below you
will find a list of statements. Please indicate how often each statement
applies to you generally in daily life.

 

Please
indicate from a scale from 0 to 5 (0 representing never and 5 representing
always) - 9.	I push feelings of discomfort away by focusing on something.","Below you
will find a list of statements. Please indicate how often each statement
applies to you generally in daily life.

 

Please
indicate from a scale from 0 to 5 (0 representing never and 5 representing
always) - 10.	When I feel unpleasant body sensations, I occupy myself with something else so I don’t have to feel them.","Below you
will find a list of statements. Please indicate how often each statement
applies to you generally in daily life.

 

Please
indicate from a scale from 0 to 5 (0 representing never and 5 representing
always) - 11.	When I feel physical pain, I become upset.","Below you
will find a list of statements. Please indicate how often each statement
applies to you generally in daily life.

 

Please
indicate from a scale from 0 to 5 (0 representing never and 5 representing
always) - 12.	I start to worry that something is wrong if I feel any discomfort.","Below you
will find a list of statements. Please indicate how often each statement
applies to you generally in daily life.

 

Please
indicate from a scale from 0 to 5 (0 representing never and 5 representing
always) - 13.	I can notice an unpleasant body sensation without worrying about it.","Below you
will find a list of statements. Please indicate how often each statement
applies to you generally in daily life.

 

Please
indicate from a scale from 0 to 5 (0 representing never and 5 representing
always) - 14.	I can stay calm and not worry when I have feelings of discomfort or pain.","Below you
will find a list of statements. Please indicate how often each statement
applies to you generally in daily life.

 

Please
indicate from a scale from 0 to 5 (0 representing never and 5 representing
always) - 15.	When I am in discomfort or pain I can’t get it out of my mind.","Below you
will find a list of statements. Please indicate how often each statement
applies to you generally in daily life.

 

Please
indicate from a scale from 0 to 5 (0 representing never and 5 representing
always) - 16.	I can pay attention to my breath without being distracted by things happening around me.","Below you
will find a list of statements. Please indicate how often each statement
applies to you generally in daily life.

 

Please
indicate from a scale from 0 to 5 (0 representing never and 5 representing
always) - 17.	I can maintain awareness of my inner bodily sensations even when there is a lot going on around me.","Below you
will find a list of statements. Please indicate how often each statement
applies to you generally in daily life.

 

Please
indicate from a scale from 0 to 5 (0 representing never and 5 representing
always) - 18.	When I am in conversation with someone, I can pay attention to my posture.","Below you
will find a list of statements. Please indicate how often each statement
applies to you generally in daily life.

 

Please
indicate from a scale from 0 to 5 (0 representing never and 5 representing
always) - 19.	I can return awareness to my body if I am distracted.","Below you
will find a list of statements. Please indicate how often each statement
applies to you generally in daily life.

 

Please
indicate from a scale from 0 to 5 (0 representing never and 5 representing
always) - 20. I can refocus my attention from thinking to sensing my body.",Below you will find a list of statements. Please indicate how often each statement applies to you generally in daily life. Please indicate from a scale from 0 to 5 (0 representing never and 5 representing always) - 21.	I can maintain awareness of my whole body even when a part of me is in pain or discomfort.,Below you will find a list of statements. Please indicate how often each statement applies to you generally in daily life. Please indicate from a scale from 0 to 5 (0 representing never and 5 representing always) - 22.	I am able to consciously focus on my body as a whole.,Below you will find a list of statements. Please indicate how often each statement applies to you generally in daily life. Please indicate from a scale from 0 to 5 (0 representing never and 5 representing always) - 23.	I notice how my body changes when I am angry.,Below you will find a list of statements. Please indicate how often each statement applies to you generally in daily life. Please indicate from a scale from 0 to 5 (0 representing never and 5 representing always) - 24.	When something is wrong in my life I can feel it in my body.,Below you will find a list of statements. Please indicate how often each statement applies to you generally in daily life. Please indicate from a scale from 0 to 5 (0 representing never and 5 representing always) - 25.	I notice that my body feels different after a peaceful experience.,Below you will find a list of statements. Please indicate how often each statement applies to you generally in daily life. Please indicate from a scale from 0 to 5 (0 representing never and 5 representing always) - 26.	I notice that my breathing becomes free and easy when I feel comfortable.,Below you will find a list of statements. Please indicate how often each statement applies to you generally in daily life. Please indicate from a scale from 0 to 5 (0 representing never and 5 representing always) - 27.	I notice how my body changes when I feel happy / joyful.,Below you will find a list of statements. Please indicate how often each statement applies to you generally in daily life. Please indicate from a scale from 0 to 5 (0 representing never and 5 representing always) - 28.	When I feel overwhelmed I can find a calm place inside.,Below you will find a list of statements. Please indicate how often each statement applies to you generally in daily life. Please indicate from a scale from 0 to 5 (0 representing never and 5 representing always) - 29.	When I bring awareness to my body I feel a sense of calm.,Below you will find a list of statements. Please indicate how often each statement applies to you generally in daily life. Please indicate from a scale from 0 to 5 (0 representing never and 5 representing always) - 30.	I can use my breath to reduce tension.,"Below you will find a list of statements. Please indicate how often each statement applies to you generally in daily life. Please indicate from a scale from 0 to 5 (0 representing never and 5 representing always) - 31.	When I am caught up in thoughts, I can calm my mind by focusing on my body/breathing.",Below you will find a list of statements. Please indicate how often each statement applies to you generally in daily life. Please indicate from a scale from 0 to 5 (0 representing never and 5 representing always) - 32.	I listen for information from my body about my emotional state.,"Below you will find a list of statements. Please indicate how often each statement applies to you generally in daily life. Please indicate from a scale from 0 to 5 (0 representing never and 5 representing always) - 33.	When I am upset, I take time to explore how my body feels.",Below you will find a list of statements. Please indicate how often each statement applies to you generally in daily life. Please indicate from a scale from 0 to 5 (0 representing never and 5 representing always) - 34.	I listen to my body to inform me about what to do.,Below you will find a list of statements. Please indicate how often each statement applies to you generally in daily life. Please indicate from a scale from 0 to 5 (0 representing never and 5 representing always) - 35.	I am at home in my body.,Below you will find a list of statements. Please indicate how often each statement applies to you generally in daily life. Please indicate from a scale from 0 to 5 (0 representing never and 5 representing always) - 36.	I feel my body is a safe place.,Below you will find a list of statements. Please indicate how often each statement applies to you generally in daily life. Please indicate from a scale from 0 to 5 (0 representing never and 5 representing always) - 37. I trust my body sensations.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID3_5""}","{""ImportId"":""QID3_6""}","{""ImportId"":""QID3_7""}","{""ImportId"":""QID3_8""}","{""ImportId"":""QID3_9""}","{""ImportId"":""QID3_10""}","{""ImportId"":""QID3_11""}","{""ImportId"":""QID3_12""}","{""ImportId"":""QID3_13""}","{""ImportId"":""QID3_14""}","{""ImportId"":""QID3_15""}","{""ImportId"":""QID3_16""}","{""ImportId"":""QID3_17""}","{""ImportId"":""QID3_18""}","{""ImportId"":""QID3_19""}","{""ImportId"":""QID3_20""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID4_6""}","{""ImportId"":""QID4_7""}","{""ImportId"":""QID4_8""}","{""ImportId"":""QID4_9""}","{""ImportId"":""QID4_10""}","{""ImportId"":""QID4_11""}","{""ImportId"":""QID4_12""}","{""ImportId"":""QID4_13""}","{""ImportId"":""QID4_14""}","{""ImportId"":""QID4_15""}","{""ImportId"":""QID4_16""}","{""ImportId"":""QID4_17""}"
2021-01-13 02:37:42,2021-01-13 03:19:57,IP Address,155.69.174.63,100,2534,True,2021-01-13 03:19:57,R_3oMJcMJdZAttgFv,,,,,1.2928924560546875,103.854705810546875,anonymous,EN,004,0,5,4,4,5,2,2,4,4,1,3,2,3,2,1,4,5,5,4,4,3,3,4,3,5,5,5,3,3,4,4,1,2,2,3,4,4
